contrato,status,data_vigencia,data_checagem,verificado,dias_atraso,parcela_atual,valor_parcela,vencimento_mes_atual,data_para_checar,dias_desde_vencimento,d3_cai_proximo_mes,pode_checar,deve_checar_hoje,motivo
2268680000,Cancelado por Inadimplência,2024-12-27,2025-07-15,True,0,3,57.8,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2385174000,Cancelado por Inadimplência,2025-03-18,2025-06-21,True,0,1,94.52,2025-12-18,2025-12-21,,False,False,False,Status: Cancelado por Inadimplência
2376183000,Cancelado por Inadimplência,2025-03-10,2025-06-11,True,0,1,57.8,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2383332000,Cancelado por Inadimplência,2025-03-17,2025-06-19,True,0,1,86.7,2025-12-17,2025-12-20,,False,False,False,Status: Cancelado por Inadimplência
2057752000,Cancelado por Inadimplência,2024-02-26,2025-06-28,True,0,14,154.23,2025-12-26,2025-12-29,,False,False,False,Status: Cancelado por Inadimplência
2010273000,Cancelado por Inadimplência,2023-11-06,2025-04-09,True,0,15,447.8,2025-12-06,2025-12-09,,False,True,False,Status: Cancelado por Inadimplência
2082760000,Cancelado por Inadimplência,2024-04-16,2025-10-11,True,0,15,70.72,2025-12-16,2025-12-19,,False,False,False,Status: Cancelado por Inadimplência
2181473000,Cancelado por Inadimplência,2024-07-30,2025-06-14,True,0,8,86.7,2025-12-30,2026-01-02,-18,True,False,False,Status: Cancelado por Inadimplência
2381205000,Cancelado por Inadimplência,2025-03-13,2025-10-16,True,0,7,368.25,2025-12-13,2025-12-16,,False,False,False,Status: Cancelado por Inadimplência
1955430000,Cancelado por Inadimplência,2023-07-25,2025-05-29,True,0,20,88.2,2025-12-25,2025-12-28,,False,False,False,Status: Cancelado por Inadimplência
2231088000,Cancelado por Inadimplência,2024-10-14,2025-05-16,True,0,5,174.3,2025-12-14,2025-12-17,,False,False,False,Status: Cancelado por Inadimplência
2499337000,Cancelado por Inadimplência,2025-07-01,2025-10-04,True,0,1,141.78,2025-12-01,2025-12-04,,False,True,False,Status: Cancelado por Inadimplência
2165433000,Cancelado por Inadimplência,2024-06-13,2025-07-16,True,0,11,57.8,2025-12-13,2025-12-16,,False,False,False,Status: Cancelado por Inadimplência
2347807000,Cancelado por Inadimplência,2025-02-03,2025-09-05,True,0,5,397.8,2025-12-03,2025-12-06,,False,True,False,Status: Cancelado por Inadimplência
2356302000,Cancelado por Inadimplência,2025-02-13,2025-05-15,True,0,1,94.52,2025-12-13,2025-12-16,,False,False,False,Status: Cancelado por Inadimplência
2083559000,Cancelado por Inadimplência,2024-04-17,2025-06-28,True,0,12,57.8,2025-12-17,2025-12-20,,False,False,False,Status: Cancelado por Inadimplência
2043579000,Cancelado por Inadimplência,2024-01-24,2025-10-27,True,0,21,87.98,2025-12-24,2025-12-27,,False,False,False,Status: Cancelado por Inadimplência
2073943000,Em dia,2024-03-28,2025-09-04,False,0,18,88.42,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2257228000,Cancelado por Inadimplência,2024-12-10,2025-07-12,True,0,5,147.3,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2083085000,Cancelado por Inadimplência,2024-04-16,2025-06-18,True,0,12,174.3,2025-12-16,2025-12-19,,False,False,False,Status: Cancelado por Inadimplência
2351342000,Cancelado por Inadimplência,2025-02-07,2025-08-09,True,0,4,115.6,2025-12-07,2025-12-10,,False,True,False,Status: Cancelado por Inadimplência
2082101000,Cancelado por Inadimplência,2024-04-15,2025-06-18,True,0,12,57.8,2025-12-15,2025-12-18,,False,False,False,Status: Cancelado por Inadimplência
2382539000,Cancelado por Inadimplência,2025-03-14,2025-10-16,True,0,5,115.6,2025-12-14,2025-12-17,,False,False,False,Status: Cancelado por Inadimplência
1984737000,Cancelado por Inadimplência,2023-09-14,2025-08-16,True,0,21,69.92,2025-12-14,2025-12-17,,False,False,False,Status: Cancelado por Inadimplência
2424754000,Cancelado por Inadimplência,2025-04-24,2025-07-31,True,0,1,141.78,2025-12-24,2025-12-27,,False,False,False,Status: Cancelado por Inadimplência
2471388000,Cancelado por Inadimplência,2025-06-02,2025-09-03,True,0,1,57.8,2025-12-02,2025-12-05,,False,True,False,Status: Cancelado por Inadimplência
2268192000,Cancelado por Inadimplência,2024-12-26,2025-06-28,True,0,4,57.8,2025-12-26,2025-12-29,,False,False,False,Status: Cancelado por Inadimplência
2272657000,Cancelado por Inadimplência,2025-01-03,2025-06-05,True,0,3,115.6,2025-12-03,2025-12-06,,False,True,False,Status: Cancelado por Inadimplência
2265647000,Cancelado por Inadimplência,2024-12-19,2025-07-31,True,0,5,57.8,2025-12-19,2025-12-22,,False,False,False,Status: Cancelado por Inadimplência
2251045000,Em dia,2024-11-28,2025-09-03,False,0,10,115.6,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2356319000,Cancelado por Inadimplência,2025-02-13,2025-07-16,True,0,3,57.8,2025-12-13,2025-12-16,,False,False,False,Status: Cancelado por Inadimplência
2354431000,Cancelado por Inadimplência,2025-02-11,2025-06-14,True,0,3,141.78,2025-12-11,2025-12-14,,False,False,False,Status: Cancelado por Inadimplência
2229196000,Cancelado por Inadimplência,2024-10-09,2025-06-11,True,0,6,57.8,2025-12-09,2025-12-12,,False,True,False,Status: Cancelado por Inadimplência
2264173000,Cancelado por Inadimplência,2024-12-17,2025-06-19,True,0,4,86.7,2025-12-17,2025-12-20,,False,False,False,Status: Cancelado por Inadimplência
2358441000,Cancelado por Inadimplência,2025-02-17,2025-07-19,True,0,3,115.6,2025-12-17,2025-12-20,,False,False,False,Status: Cancelado por Inadimplência
